Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,297400.0,298000.0,294000.0,295755.0,295755.0,300
2018-01-03,296200.0,299920.0,295801.0,299905.0,299905.0,200
2018-01-04,300450.0,302980.0,300000.0,300516.0,300516.0,500
2018-01-05,302200.0,302430.0,297900.0,301525.0,301525.0,300
2018-01-08,299500.0,304530.0,299500.0,304180.0,304180.0,500
2018-01-09,305784.0,306280.0,303880.0,304500.0,304500.0,600
2018-01-10,304625.0,308600.0,303930.0,308350.0,308350.0,400
2018-01-11,309000.0,310760.0,308800.0,309950.0,309950.0,400
2018-01-12,310100.0,315390.0,309910.0,315225.0,315225.0,400
2018-01-16,319620.0,321060.0,313980.0,315261.0,315261.0,500
2018-01-17,317800.0,323630.0,315561.0,321469.0,321469.0,300
2018-01-18,324300.0,324300.0,319620.0,320000.0,320000.0,600
2018-01-19,320800.0,321000.0,318191.0,320238.0,320238.0,400
2018-01-22,320130.0,324064.0,320085.0,324064.0,324064.0,400
2018-01-23,324500.0,324619.0,319393.0,322885.0,322885.0,400
2018-01-24,323551.0,325230.0,322000.0,323480.0,323480.0,300
2018-01-25,324600.0,324600.0,321520.0,322850.0,322850.0,200
2018-01-26,323100.0,325915.0,323100.0,325915.0,325915.0,400
2018-01-29,325650.0,326350.0,322910.0,323500.0,323500.0,200
2018-01-30,322480.0,324915.0,322155.0,323000.0,323000.0,900
2018-01-31,323000.0,323500.0,321010.0,323375.0,323375.0,600
2018-02-01,322300.0,326110.0,322000.0,325900.0,325900.0,400
2018-02-02,324351.0,324380.0,312030.0,314340.0,314340.0,600
2018-02-05,308500.0,311850.0,295000.0,295600.0,295600.0,1000
2018-02-06,293150.0,303431.0,288540.0,303000.0,303000.0,1200
2018-02-07,304200.0,306710.0,301000.0,301000.0,301000.0,500
2018-02-08,301190.0,301190.0,288000.0,288000.0,288000.0,600
2018-02-09,293859.0,296296.0,285250.0,294140.0,294140.0,900
2018-02-12,298100.0,301020.0,295000.0,298940.0,298940.0,400
2018-02-13,296400.0,298508.0,294500.0,297500.0,297500.0,300
2018-02-14,295960.0,301180.0,294458.0,301005.0,301005.0,200
2018-02-15,303580.0,305999.0,301100.0,305999.0,305999.0,300
2018-02-16,304650.0,309590.0,304650.0,306000.0,306000.0,400
2018-02-20,305400.0,306805.0,303660.0,304904.0,304904.0,200
2018-02-21,304470.0,307770.0,301240.0,301530.0,301530.0,200
2018-02-22,302500.0,305020.0,300345.0,301404.0,301404.0,300
2018-02-23,301860.0,306400.0,301425.0,304020.0,304020.0,400
2018-02-26,311240.0,316520.0,308455.0,316126.0,316126.0,800
2018-02-27,318150.0,319500.0,314345.0,314345.0,314345.0,600
2018-02-28,316100.0,317410.0,310250.0,310250.0,310250.0,300
2018-03-01,311000.0,313000.0,301405.0,302946.0,302946.0,400
2018-03-02,300980.0,303693.0,299360.0,303100.0,303100.0,300
2018-03-05,302000.0,306499.0,300240.0,304500.0,304500.0,200
2018-03-06,307000.0,307499.0,304400.0,307005.0,307005.0,200
2018-03-07,303900.0,307560.0,303430.0,306756.0,306756.0,200
2018-03-08,306400.0,310994.0,305240.0,307700.0,307700.0,300
2018-03-09,311540.0,319780.0,309355.0,319600.0,319600.0,500
2018-03-12,319320.0,320000.0,317130.0,317746.0,317746.0,300
